[2016-12-14 10:38:55,108]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 15 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:55,626]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 16 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:55,818]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 16 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:56,228]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 17 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:56,307]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 17 01 B0 01 00 00 00 00 00
[2016-12-14 10:51:51,480]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 02 00 C0 01 00 00 FF FF 00
[2016-12-14 10:51:51,495]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 02 00 B0 01 00 00 00 00 00
[2016-12-14 10:51:52,494]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 03 00 C0 01 00 00 FF FF 00
[2016-12-14 10:51:52,641]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 03 00 B0 01 00 00 00 00 00
[2016-12-14 10:51:53,495]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 04 00 C0 01 00 00 FF FF 00
[2016-12-14 10:51:53,751]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 04 00 B0 01 00 00 00 00 00
[2016-12-14 10:51:54,495]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 05 00 C0 01 00 00 FF FF 00
[2016-12-14 10:51:54,624]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 05 00 B0 01 00 00 00 00 00
[2016-12-14 10:51:55,497]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 06 00 C0 01 00 00 FF FF 00
[2016-12-14 10:51:55,526]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 06 00 B0 01 00 00 00 00 00
